y,x1,x2,x3,x4,x5
18.6,23.3,22.4,49.1,24.2,292.4
19.3,24,22.8,50.9,24.4,330
19.9,24.8,23.3,52.8,24.6,346.1
20.7,25.5,23.8,54.7,24.7,352.6
20.7,26.3,24.2,56.7,24.9,372
20.3,27.3,29.6,53.8,26.5,433.8
20.8,28.2,30.7,55.2,26.8,477
21.4,29,31.8,56.7,27.1,518
22,29.9,33,58.3,27.4,562
22.6,30.8,34.3,59.9,27.8,610
23.2,31.7,35.6,61.5,28.1,663
23.8,32.7,36.9,63.1,28.4,721
24.4,33.7,38.3,64.9,28.8,785
25.1,34.6,39.7,66.6,29.1,855
25.8,35.6,41.2,68.4,29.4,932
26.5,36.6,42.8,70.3,29.8,1016
27.2,37.7,44.4,72.2,30.1,1108
27.9,38.8,46.1,74.1,30.5,1210
